Cler_surn	Cler_fore
Allanson	Joseph
Allanson	Stephanus
Allanson	Stephen
Allanson	Thomas
Allanson	William
Allardes	Thomas
Allason	Joannes
Allason	Johannes
Allason	John
Allbardos	Thomas
Allbirt	Thomas
Allbrightus	Guilielmus
Allcock	Thomas
Alldrid	Gulielmus
Alldrid	William
Alldridge	Robertum
Alleine	Jonathan
Alleine	Richardus
Allembrigg	John
Allen	Abraham
Allen	Abrahamus
Allen	Alexander
Allen	Anthony
Allen	Benjamin
Allen	Charles
Allen	Charles J
Allen	Cuthbert
Allen	Edmund
Allen	Edmundus
Allen	Eduardus
Allen	Edward
Allen	Fiffield
Allen	Fifield
Allen	Francis
Allen	Franciscus
Allen	George
Allen	Georgius
Allen	Gilbert
Allen	Gilbertus
Allen	Gualterus
Allen	Guilielmus
Allen	Gulielmus
Allen	Henricus
Allen	Henrie
Allen	Henry
Allen	Humphrey
Allen	Jacobus
Allen	James
Allen	Jer.
Allen	Joannes
Allen	Johannes
Allen	John
Allen	Joseph
Allen	Josephus
Allen	Joshua
Allen	Lemuel
Allen	Lemuell
Allen	Peter
Allen	Richard
Allen	Richardus
Allen	Ro:
Allen	Robert
Allen	Robertus
Allen	Samuel
Allen	Stephen
Allen	Thomas
Allen	Thomas Dawson
Allen	Thomas Lingen
Allen	Tifield
Allen	Walter
Allen	Wilhelmus
Allen	Willelmus
Allen	William
Allen	Williams
Allen Jones	William
Allenson	Allen
Allenson	Edward
Allenson	Gilbert
Allenson	James
Allenson	Marmaducus
Allenson	Marmaduk
Allenson	Robert
Allenson	William
Allerdyce	David
Allerdyne	David
Allerton	John
Allerton	William
Allertoun	William
Alleryne	John
Allester	Thomas
Allestree	Richard
Allestree	Richardus
Allestree	Thomas
Allestry	Thomas
Allett	Thomas
Allett	Thos.
Alley	Hieronimus
Alley	Hinvonymus
Alley	Jeremius
Alley	Jerome
Alleyn	Abraham
Alleyn	Abrahamus
Alleyn	Charles
Alleyn	Henry
Alleyn	Jacobus
Alleyn	Raph
Alleyn	Richard
Alleyne	Abraham
Alleyne	Johannes
Alleyne	Ralph
Alleyne	Richard
Alleyne	Thomas
Allford	Charolus
Allforde	Carolus
Allgood	Bartholomeus
Allgood	Bartholomew
Allgood	Jacobus
Allgood	James
Allhorne	Carolus
Allibond	Petrus
Allies	Thomas
Alliin	Thomas
Allin	Johannes
Allin	John
Allin	Richard
Allin	Richardus
Alline	John
Allington	Carolus
Allington	John
Allington	Robert
Allinson	Richard
Allinson	Robert
Allis	Carolus
Allison	Johannes
Allison	John
Allison	William
Alliston	Rice
Allix	Peter
Allix	Petrus
Alllgood	Major
Allmond	Charles
Allmont	Danielis
Allott	Francis
Allott	James
Allott	John
Allott	Robert
Allott	Robertus
Allport	Josiah
Allsop	Georgius
Allsop	John
Allsopp	John
