Cler_surn	Cler_fore
Agassiz	Robert
Agate	Gulielmus
Agate	Johannes
Agate	William
Agborough	Edward
Agborow	Edvardus
Agborow	Edward
Agden	Amos
Ager	Thomas
Ager	William
Ager alias Awcher	Clement
Ager alias Awtcher	Clement
Aggas	Daniel
Aggas	Edvardus
Aggas	Eligeus
Aggas	Gulielmus
Aggasman	Johannes
Agge-Stock	John
Aggestock	John
Agier	Johannes
Aglandin	Henry
Aglionbie	Johannes
Aglionby	George
Aglionby	Georgius
Aglionby	Henricus
Aglionby	Johannes
Aglionbye	George
Aglionbye	Johannes
Aglionbye	John
Aglionghbye	Henry
Aglyenby	Henry
Aglyonbye	Georgius
Agnew	Andreas
Agnew	Andrew
Agus	Edwardus
Agutter	William
Ahorrock	Henricus
Ahsbridge	Richard
Aicrigge	Johes
Aiden	Francis Edward
Aiglin	Willimus
Aikridge	John
Ailemer	Edwardus
Ailiff	Robert
Ailiffe	Guilielmus
Ailmer	Johannes
Ailmer	Johes
Ailmer	Theophilus
Ailmer	Thomas
Ailmer	Willhelmus
Ailway	Hugh
Aime	Thomas
Ainge	Joseph
Ainge	Josephus
Ainge	Samuel
Ainge or Ange	Joseph
Ainger	Thomas
Ainger	William
Ainscough	Thomas
Ainslie	George
Ainslie	Gilbert
Ainslie	Henry Ford
Ainsworth	Edward
Ainsworth	Guilielmus
Ainsworth	Gulielmus
Ainsworth	Robertus
Ainsworth	Samuel
Ainsworth	Samuelis
Ainsworth	Thomas
Ainsworth	Willamus
Ainsworth	William
Ainsworth	Willimus
Airay	Adamus
Airay	Christopherus
Airay	Giulielmus
Airay	Guliellmus
Airay	Henricus
Airay	Johes
Airay	William
Airey	Henry Holme
Airey	Johannes
Airey	John
Airey	Philip
Airey	Thomas
Airey	William
Airson	John
Airson	Thomas
Airton	Edvardus
Airton	Edward
Airton	Edwardus
Airton	Roberto
Airy	William
Aiscough	Henricus
Aiscough	Henry
Aiscoughe	Henry
Aisgill	Henry
Aisgill	Joshua
Aisgill	Josua
Aish	Faithfull
Aish	Fidelis
Aish	Guilielmus
Aish	Robertus
Aish	Wilhelmus
Aishe	Richardus
Aishe	Robert
Aishford	Edmund
Aishford	Edmundus
Aiskew	John
Aislabie	William
Aislabie	William James
Aislabie	William John
Aislaby	William James
Aisley	Johannes
Aisley	John
Aisley	Thomas
Aisling	Thomas
Aistley	John
Aistrop	John
Aitchison	David
Aitken	Robert
Aitkens	Robert Ellis
Aitkins	Robert Ellis
Aked	William
Akehurst	Alexander
Akehurst	Pell
Akerod	Anthonius
Akerod	Anthony
Akeroide	John
Akers	Ricardus
Akers	Williamus
Aketon	Johannes
Akroid	Johannes
Akroid	Thomas
Alabaster	William
Alabaster	Willimus
Alanby	Robertus
Alanbye	Henry
Alanbye	Thomas
Aland	Edmundus
Alanson	Edvardus
Alanson	Gilbert
Alanson	Jacobus
Alanson	Josephus
Alanson	Richard
Alanson	Robertus
Alastree alias Alestree alias Alestry	Richard
Alban	Thomas
Alberry	John
Albert	Georgius
Albert	Johes
Alberte	George
Albery	Johannes
Albright	Gulielmus
Albright	Willielmus
Alby	Thomas
Alchen	Johannes
Alchen	John
Alchin	Eadwardus
Alchin	Edward
Alchin	George
Alchin	Johannes
Alchorne	Carolus
Alchorne	Guilielmus
Alchorne	Gulielmus
Alchorne	Wilhelmus
Alcock	Anthony
Alcock	Charles
Alcock	Christopher
Alcock	Gilbert
Alcock	Johannes
Alcock	Johanni
Alcock	John
Alcock	Laurentius
Alcock	Laurentus
Alcock	Lawrentius
Alcock	Lewis
Alcock	Petrus
Alcock	Richard
Alcock	Robert
Alcock	Thomas
Alcock	William
Alcock	Williamus
Alcock	Willimus
Alcocke	Anthonius
Alcocke	Edwardus
Alcocke	Johannes
Alcocke	Laurence
Alcocke	Laurentius
Alcocke	Lawrentius
Alcocke	Nicholas
Alcocke	Thomas
Alcocke	Willimus
Alcockson	Humphrey
Alcok	Thomas
Alcoke	Robertus
Alcoke	Thomas
Alcoke	Willelmus
Aldam	John
Aldcroft	Carolus
Aldem	Mardoches
Alden	Charles
Alden	Henry
Alden	Thomas
Aldeney	John
Alder	Brian
Alder	Edward Thomas
Alder	Gilbert
Alder	Guilielmus
Alder	Gulielmus
Alder	Johannes
Alder	Saint John
Alder	St John
Alder	Willelmus
Alder	William
Aldercroft	Charles
Alderley	Arthur
Alderman	Francis Charles
Aldern	Franciscus
Alderne	Daniel
Alderne	Daniell
Alderne	Francis
alderne	franciscus
Alders	Jacobus
Aldersey	Samuel
Alderson	Barnabas
Alderson	Barnabus
Alderson	Christopher
Alderson	Christopher Westby
Alderson	Edmund
Alderson	Franciscus
Alderson	George
Alderson	Guilielmus
Alderson	Gulielmus
Alderson	Jacobus
Alderson	Johannes
Alderson	John
Alderson	Jonathan
Alderson	Joseph
Alderson	Martinus
Alderson	Richard
Alderson	Richardus
Alderson	Robert Jervis Coke
Alderson	Samuel
Alderson	Samuel Hurry
Alderson	Thomae
Alderson	Thomas
Alderson	William
Alderson	William Thompson
Alderston	Johannes
Alderston	John
Alderstone	Johannes
Aldet	Eadwardus
Aldewell	Willimus
Aldey	Edward
Aldey	Edwardus
Aldey	Johannes
Aldey alias Aldley	Edward
Aldham	Harcourt
Aldham	Johannes
Aldhouse	Alleyn
Aldhouse	Gulielmus
Aldhouse	Stephen
Aldington	William
Aldis	James
Aldon	Thomas
Aldreade	Willimus
Aldred	Edmundus
Aldred	Gervasius
Aldred	Johannes
Aldred	Johem
Aldred	John
Aldred	Thomas
Aldrede	Christopher
Aldredge	Ricardus
Aldrich	Charles
Aldrich	George
Aldrich	Georgius
Aldrich	Henry
Aldrich	Jacobus
Aldrich	Johannes
Aldrich	John
Aldrich	John Cobbold
Aldrich	Pelham Stanhope
Aldrich	Robert
Aldrich	Stephen
Aldrich	Thomas
Aldrich	William
Aldrich	William Wogan
Aldriche	Henricus
Aldriche	Johannes
Aldriche	Richard
Aldriche	Robert
Aldriche	Robertus
Aldriche	Simon
Aldriche	Thomas
Aldrick	Charles
Aldridge	Georgius
Aldridge	James
Aldridge	Joseph
Aldridge	Ricardus
Aldridge	Richard
Aldrige	Henry
Aldrige	Reginald
Aldrige	Richard
Aldrige	Robertus
Aldrington	William
Aldritch	Henry
Aldritche	Thomas
Aldry	Edward
Aldryge	Ricardus
Aldrythe	Robertus
Aldus	Samuel
Aldus	Williamus
Aldwincle	Thomas
Aldworth	Johannes
Aldworth	John
Aldworth	Nathaniell
Aldworth	Thomas
Aldworth	William
Aldworthe	Johannes
Aldy	Rogerus
Alen	Edmundus
Alen	Gervase
Alen	Johannes
Alen	John
Alen	Robertus
Alen	Simon
Alen	Thomas
Alen	William
Alenson	Edwardi
Alenson	Edwardus
Alenson	Johannes
Alerton	John
Ales	Thomas
Alesby	Samuel
Alett	Johannes
Aleworth	Humfredus
Aleworth	Humfridus
Alex	Petrus
Alexander	Alexander
Alexander	Daniel
Alexander	Francis
Alexander	Franciscus
Alexander	Guilielmus
Alexander	Gulielmus
Alexander	James Wadham
Alexander	James Wadman
Alexander	Joannes
Alexander	Johannes
Alexander	John
Alexander	Joseph
