Cler_surn	Cler_fore
Addison	Willielmus
Addison	Willimus
Addisshed	Peter
Additon	Robertus
Addlerly	Robtus
Addrelston	Edmundus
Addy	Thomas
Addye	Christopher
Addye	John
Addynson	Thomas
Addyshed	Peter
Addyshed	Petrus
Addyson	Thomas
Adee	Isaacus
Adee	Nich:
Adee	Nicholas
Adelston	Michael
Ademe	Richardus
Adenbrooke	Thomas
Aderson	Martin
Aderson	Robert
Aderton	unknown
Ades	William
Adeson	Anthony
Adey	William
Adie	Nicholas
Adin	Robertus
Adington	Harmanus
Adington	Harmon
Adished	Peter
Adished	Petrus
Adished	Thomas
Adison	Georgius
Adison	Robertus
Adkins	
Adkinson	Arthur
Adlam	Not given
Adlard	Anth
Adlard	Antho:
Adlard	Anthonius
Adleston	Michaell
Adlington	Thomas
Adney	Georgius
Adney	Richard
Adocke	Willielmus
Adowe	Johannes
Adrian	Richard
Adrian	Richard
Adryan	Barthus
Adshead	Jeremias
Ady	Nicholas
Adye	Nicholas
Adye	Nicolaus
Adye	Robert
Adyes	Wyllyam
Adyson	Thomas
Aelmer	BLANK [but Theoophilus]
AElmer	George
Aelmer	Johannes
Aelmer	Theophilus
Aelmir	George
Aenmer	Michaell
Aerten	Edvardus
Aerton	Edvardus
Aerton	Edward
Affleck	James
Affleck	William
Affowle	William
Afowle	Harry
Afowlle	Henry
After	John
Agar	Laurence
Agar	Thomas
Agard	Simon
Agas	Edwardus
Agas	Eligeus
Agashan	Alexander
Agasman	Alexander
Agborough	Edward
Agborow	Edvardus
Agecombe	William
Ager	Clemens
Ager	John
Aggas	Edvardus
Aggas	Eligeus
Aghton	Robertus
Agley	blank
Aglionby	
Aglionby	George
Aglionby	Henricus
Aglionby	Thomas
Aglonby	Thomas
Aglyonby	Georgius
Agnasholde	Richardus
Agnel	Roman
Agustinnse	Wilhelmus
Agutter	William
Agwatkin	Thomas
Aickton	Johannes
Aicrigge	Johannes
Aikridge	John
Aikrigg	Joannes
Aileward	Rogerus
Aileworth	Not given
Ailiffe	Josephus
Ailmer	Edward
Ailmer	Jo:
Ailmer	Johannes
Ailmer	Theoophilus
Ailmer	Theophilus
Ailway	Hugh
Ainge	Joseph
Ainge	Josephus
Ainge	Samuel
Ainscough	Radleius
Ainscough	Radley
Ainscough	Thomas
Ainsley	Johue
Ainsworth	George
Ainsworth	Gulielmus
Ainsworth	unknown
Ainsworth	Willamus
Ainsworth	Willimus
Airay	Adam
Airay	Christoph:
Airay	Guilielmus
Airay	Johes
Airay	Johnes
Airay	William
Airay	Willimus
Airay	Xopherus
Airay	Xpoferus
Aird	Johannes
Airde	Johannes
Aire	Johannes
Aire	Robert
Aires	Christopherus
Aires	Petrus
Airesley	Francis
Airey	Adam
Airey	Johes
Airey	Willimus
Airson	blank
Airson	J
Airson	John
Airson	Thomas
Airton	Edvardus
Airton	Edward
Airton	Edwardus
Airton	Robertus
Airton	Thomas
Airy	Willimus
Airye	Richard
Aiscough	Henry
Aisgill	Henry
Aisgill	Joshua
Aishford	Daniel
Aishton	Peter
Aishton	Randoll
Aishwood	Bartholomew
Aiskew	John
Aiskwith	Georgius
Aisley	blank
Aisley	Johannes
Aistrop	John
Aitkens	RE
Akeroide	John
Akoons	Wilhelmus
Alabastre	Guil
Alablaster	William
Alaige	Chailes
Alama	Henry
Alanbie	Christopher
Alanby	Christopher
Alanby	Robertus
Alanby	Thomas
Alanbye	Christopher
Alanbye	Thomas
Alane	Robertus
Alanson	Edvardus
Alanson	Robert
Alard	Johnes
Alasden	William
Alban	Thomas
Albert	Georgius
Albin	Christopher
Albin	Christopherus
Albin	not given
Albin	unknown
Albon	John
Albord	Thomas
Alborne	Thomas
Albote	[blank]
Albourne	Thomas
Albright	Will'us
Albright	William
Albrighte	Wilhelmus
Albryght	Wilhelmus
Alburne	Thomas
Alcap	Johannes
Alcetor	Johannes
Alcetur	John
Alchin	Eadwardus
Alchin	Johannes
Alchin	John
Alchin [?]	John
Alchorne	Not given
Alcock	Charles
Alcock	John
Alcock	Laurence
Alcock	Laurentius
Alcock	Laurentus
Alcock	Lawrentius
Alcock	Richard
Alcock	Richardus
Alcock	Thomas
Alcock	Thurstan
Alcock	William
Alcock	Williamus
Alcocke	Gilbert
Alcocke	Henry
Alcocke	Humfrey
Alcocke	Jo:
Alcocke	Johannes
Alcocke	Laurence
Alcocke	Laurentius
Alcocke	Lawrentius
Alcocke	Lodovicus
Alcocke	Richard
Alcocke	Richardus
Alcocke	Robert
Alcocke	Thomas
Alcocke	Thurstan
Alcok	William
Alcoke	Richard
Alcoke	Richardus
Alcoke	Thomas
Aldams	Robertus
Aldcroft	Carolus
Aldcroft	Charles
Aldeed	Henrico
Aldem	Jo:
Aldem	Johannes
Aldem	not given
Alden	Georgius
Alden	John
Alden	Thomas
Alder	Johannes
Alder	not given
Alder	St.John
Alderbury	Thomas
Aldercroft	Charles
Alderich	Simo
Alderick	John
Alderley	Robertus
Alderly	Rob:
Alderly	Robertus
Alderly	Robtus
Alderman	Francis Charles
Alderman	Johannes
Alderne	not given
Aldersey	Samuel
Alderson	George
Alderson	Georgius
Alderson	Gulielmus
Alderson	Jacobus
Alderson	John
Alderson	Richardus
Alderson	William
Alderstone	Johannes
Alderton	Robertus
Aldey	Edwardus
Aldey	Thomas
Aldhouse	Gulielmus
Aldie	Edwardus
Aldington	Willus
Aldisworth	James
Aldred	Edmundus
Aldred	Henricus
Aldred	Johannes
Aldred	John
Aldred	not given
Aldredu'	John
Aldrege	Robert
Aldrich	Charles
Aldrich	Jacobus
Aldrich	Roger
Aldrich	Simo
Aldrich	Stephen
Aldrich	Symo
Aldriche	George
Aldriche	Richard
Aldriche	Robert
Aldriche	Simo
Aldriche	Simo (sic)
Aldriche	Thomas
Aldrick	Charles
Aldridge	--
Aldridge	George
Aldridge	Johes
Aldridge	John
Aldridge	not given
Aldridge	Richard
Aldridge	Robert
Aldridge	Robert.
Aldridge	Roger
Aldridge	Thomas
Aldridge	William
Aldrige	Richard
Aldrige	Simo
Aldritche	Thomas
Aldus	Samuel
Aldus	Williamus
Aldworth	Johannes
Aldworth	Nathaniel
Aldworth	Tho:
Aldys	Johannes
Ale	Ricardus
Alein	Ricardus
Aleine	Giles
Alen	Edwarde
Alen	Gervase
Alen	John
Alen	Johnes
Alen	Radolph
Alen	Ricardus
Alen	Robertus
Alen	Simon
Alen	Thomas
Alen	William
Alen	Willielmus
Alen'	Robertus
Alens	Hughe
Alens	Hugo
Alesbury	Thomas
Alesby	Samuel
Aleston	Edwardus
Alex	Carolus
Alex'	Carolus
Alex:	Gregson
Alexander	BLANK
Alexander	Carolus
Alexander	Francis
Alexander	Franciscus
Alexander	Joannes
Alexander	Johannes
Alexander	John
Alexander	Josephus
Alexander	Leonard
Alexander	Michael
Alexander	Michaell
Alexander	Michis
Alexander	Peter
Alexander	robert
Alexander	Robertus
Alexander	William
Alexandre	Alexander
Aley	Robert
Aley	Thomas
Aley	William
Aleyde	Robertus
Aleye	John
Aleyn	James
Aleyn	Johannes
Aleyn	Thomas
Aleyne	Egidius
Alford	Charolus
Alford	Johannes
Alford	John
Alford	Robertus
Alford	Robertus
Alford	Thomas
Alford	William
Alforde	Amos
Alforde	Edward
Alforde	Georgius
Alforde	Johannes
Alforde	John
Alforde	William
Alforth	John
Alfray	Franciscus
Alfrey	Mickefeare
Algar	Yhoas
Alies	Nathaniel
Alin	Edmundus
Alkin	Simon
Allaine	Henricus
Allaley	James
Allam	Johannes
Allambridge	John
Allambrigge	Johannes
Allan	
Allan	Edwardus
Allan	John
Allan	Robertus
Allann	Johannes
Allanson	Eduardus
Allanson	Edvardus
Allanson	Johannes
Allanson	John
Allanson	Robertus
Allanson	Thomas
Allanson Weighton	Charles
Allard	Johannes
Allard	John
Allason	Johannes
Allason	John
Allaway	Edwardus
Allbright	William
Allbright	Willimus
Allcock	Thomas
Allcocke	Humfrey
Alldrege	Reginaldus
Alldrege	Reginalldus
Alldye	not given
Alleine	Giles
Alleine	Jonathan
Allem	Alexander
Allen	
Allen	Abr:
Allen	Abra:
Allen	Abrah:
