Cler_surn	Cler_fore
Booth	Robert
Boothby	Thomas
Boothe	Humf
Boothe	Thomas
Booty	Samuel
Boroughe	Georgius
Borradale	Andrew
Borradale	Andrew
Borret	Thomas
Boscawen	Nicholas
Bostock	Robert
Bostock	Robert
Bostock	Robert
Bostocke	Robert
Bosvile	Thomas
Boswell	Georgius
Boswell	Will
Bouber	Johannes
Boughen	Edward
Boughen	Edward
Boughton	Steph
Boughtonne	Williamus
Boultbee	Thomas
Boulter	Hugh
Bouner	Anth
Bourchier	Edward
Bourne	Elisha
Bourne	Gilb
Bourne	Larobavell
Bourne	Robertus
Bouth	Joh
Bowater	Samuel
Bowber	Robert
Bowden	Ric
Bowen	Arnold
Bowen	Jenkin
Bowen	Jenkins
Bowen	Jenkins
Bowen	John
Bowen	Lodovic
Bowen	Lowdovic
Bowen	William
Bowen	William
Bower	Robert
Bower	Samuel
Bowers	Thomas
Bowers	Thomas
Bowes	Richard
Bowes	Richard
Bowes	Richard
Bowle	Joh
Bowle	John
Bowles	Henry
Bowles	Mathew
Bowles	Mathew
Bowles	Matthew
Bowles	William
Bowles	William
Bowman	Joh
Bowman	Nath
Bowman	William
Bownd	Nath
Bownell	Mordechai
Bowsefell	Thomas
Bowses	Samuel
Bowsfeild	Thomas
Bowtell	John
Bowtflower	John
Bowyer	Henry
Bowyer	John
Boyden	Gulielmus
Boye	Joh
Boyle	Joh
Boyle	Thomas
Boylston	John
Boys	James
Boys	James
Boys	Robert
Boyse	John
Brabant	Robert
Brabin alias Brabant	Robert
Brabon	Richardus
Brace	Walter
Bracegirdle	Joh
Bradbury	Dudley
Bradbury	Wentworth
Bradford	Henricus
Bradford	Henry
Bradford	Joh
Bradford	Joh
Bradford	Joh
Bradford	Joh
Bradford	John
Bradford	John
Bradford	John
Bradford	Samuel
Bradford	Samuel
Bradford	Samuel
Bradford	Samuel
Bradford	Samuel
Bradgate	Richard
Bradish	Will
Bradley	John
Bradley	Thomas
Bradsell	Franc
Bradshaigh	Thomas
Bradshaw	Nich
Bradshaw	William
Bradshawe	Franc
Bradshawe	Nicholaus
Bradstreet	Samuel
Bradstreete	Samuel
Brafeild	Ric
Bragge	Francis
Braithwait	Thomas
Brampton	Henricus
Bramston	James
Bramston	John
Bramston	John
Bramston	William
Brand	Thomas
Brandesbye	John
Brandesbye	John
Brant	Nevil
Brasier	John
Brassalay	Anthony James
Braunche	Will
Breamer	Thomas
Breary	Samuel
Breary	William
Bree	William
Breedon	Zacheus
Breedon	Zacheus
Breinton	Rog
Brent	Charles
Brereton	Henry
Brett	Thomas
Bretton	Joh
Bretton	Joh
Bretton	Joh
Bretton	Joh
Brewer	Andree
Brewer	Andree
Brewer	Nathaniel
Brian	Henry
Brian	Henry
Brian	Joh
Brian	Joh
Brickenden	Colwell
Brickenden	Edmund
Brickenden	Edmund
Brickenden	Joh
Brickenden	Joh
Brickenden	Johannes
Brickenden	Richard
Brideoak	Jonathan
Brideoake	John
Brideoake	Jonathan
Brideock	Ralph
Bridge	Joh
Bridge	Samuel
Bridgeman	Henricus
Bridgeman	Henricus
Bridgeman	Henry
Bridgeman	Joh
Bridgeman	Joh
Bridges	Brook henry
Bridges	Gabriel
Bridges	Henry
Bridges	Joh
Bridges	Nathaniel
Bridges	William
Bridgman	Dove
Brigham	Will
Bright	Timotheus
Bright	Timotheus
Brigindine	Edmundus
Brinsden	Charles
Briscoe	Charles
Bristow	Richard
Brither alias Becher	Henricus
Britten	Johannes
Broad	Samuel
Broad	Samuel
Broade	Samuel
Broade	Samuell
Brodbelt	Will
Broderick	Lawrence
Brodrick	Lawrence
Brome	James
Brome	Johannes
Brome	Thomas
Bromesgrove	Walter
Bromhall	Andrew
Brooke	Franc
Brooke	Jac
Brooke	Joh
Brooke	John
Brooke	Nath
Brooke	Ricus
Brooke	Samuel
Brooke	Thomas
Brookes	Henry
Brookes	John
Brookes	Math
Brookes	Thomas
Brooksby	Obadiah
Brougham	Bernard
Brougham	Edmund
Broughton	Harvy
Broughton	Michael
Broughton	Steph
Brounker	Edw
Brown	Cutbert
Brown	Philip
Brown	Philip
Brown	Robert
Brown	Walker
Brown	William
Browne	Banjamin
Browne	Charles
Browne	Cuthbert
Browne	Edward
Browne	Henr
Browne	Henry
Browne	James
Browne	Joh
Browne	Johanni
Browne	John
Browne	John
Browne	Jonathan
Browne	Peter
Browne	Ricardus
Browne	Robert
Browne	Robert
Browne	Robert
Browne	Robert
Browne	Robert
Browne	Robert
Browne	Thomas
Browne	Thomas
Browne	Thomas
Browne	Thomas
Browne	Thomas
Browne	Thomas
Browne	Thomas
Browne	Thomas
Browne	William
Browne	William
Brownhill	Will:
Browning	Benedict
Browning	Joh
Browninge	John
Brownsword	William
Brudnell	Paul
Bruen	Joseph
Brumfield	John
Brunning	Benjamin
Brunsell	Samuel
Brunsell	Samuell
Bryan	Richard
Bryckenden	John
Brynkyr	Will
Buchannan	James
Buck	Matthew
Buckenham	Ric
Buckeridge	Joh
Buckeridge	Joh
Buckland	Christoferus
Buckle	William
Buckler	Humfry
Buckley alias Bulkeley	Lancelott
Buckner	John
Buckner	John
Buckner	Thomas
Buckner	Thomas
Bucknor	John
Budden	Richard
Buddle	Georgius
Buddle	Samuel
Buddle	Zacharie
Budle	George
Buggs	Samuel
Bulfell	Daniel
Bulkeley	Benjamin
Bulkeley	Petrus
Bulkeley	Petrus
Bulkley	Benjamin
Bulkley	Gabriel
Bulkley	Lancelot
Bulkley	Ric
Bull	George
Bull	George
Buller	William
Buller	William
Bullingham	Joh
Bullock	Robertus
Bullock	William
Bunce	John
Bunting	Steph
Buoden	Robertus
Burbanke	Anthonius
Burbecke	Paulus
Burdett	Theophilus
Burdett	Wright
burdin	Reginald
Burdin	Reginald
Burdin	Reginald
Burditt	Theoph
Burdyn	Reginald
Burford	Henr
Burges	Cornel
Burges	Samuel
Burges	Thomas
Burgess	Eliz
Burgess	Elizeo
Burgess	Thomas
Burgess	Thomas
Burgess	Thomas
Burgess	Thomas
Burgess	Thomas
Burgess	Thomas
Burgh	Henry
Burghill	Gregorio
Burghill	Robert
Burkitt	William
Burkitt	William
Burleigh	Richard
Burles	Johannes
Burletson	William
Burley	Franciscus
Burley	William
Burman	John
Burneby	Andrew
Burnesell	Will
Burnesell	William
Burnet	Samuel
Burnett	Robert
Burnett	Samuel
Burnley	Joh
Burrel	William
Burrell	Alexander
Burrell	Richard
Burrell	William
Burrell	William
Burrough	Geo:
Burrough	William
Burroughs	William
Burscough	Robert
Burt	Robert
Burt	Robert
Burton	Edward
Burton	Henry
Burton	Henry
Burton	Henry
Burton	Hezekiah
Burton	Hezekiah
Burton	John
Burton	Leonard
Burton	Marmaduc
Burton	Ric
Burton	Ric
Burton	Richard
Burton	Richard
Burton	Ricus
Burton	Samuel
Burton	Samuelis
Burton	Thomas
Burton	Thomas
Burton	Will
Burwell	Willimus
Bury	Henry
Burye	Willus
Bush	John
Bushop	Thomas
Bustall	Johannes
Butler	John
Butler	John
Butler	John
Butler	Joseph
Butler	Joseph
Butler	Joseph
Butler	William
Butt	Edmund
Butt	John
Butt	John
Buttes	Henricus
Buttolph	Thomas
Buttonshaw	Thomas
Butts	Robert
Byam	Edward
Byam	Henr
Byam	Henr
Byam	Henricus
Byam	Joh
Bynham	Willimus
Bynns	Richard
Byrche	William
Byrdall	Thomas
Byrde	Ric
Byrom	Georg
Bysse	Jacobus
Bysshe	Thomas
Cabeck	Thomas
Cacott	Francis
Cade	Anthony
Cade	William
Cale	Weeley
Callow	Benjamin
Calton	Jacob
Calvert	Oliver
Calvert	Thomas
Campbell	Robert
Campe	John
Campion	Thomas
Campion	Thomas
Canham	Joh
Canham	Robert
Cannon	Nath
Capel	William Robert
Capell	Gamaliel
Capell	Mosi
Carew	Mathew
Carew	Theodore
Carew	Thomas
Carewe	Reginald
Carey	Valentin
Carey	Valentine
Carey	Valentine
Carey	Valentine
Carey	William
Carey	William
Carier	Beniaminus
Carleton	Bell
Carleton	Bell
Carleton	Geo
Carleton	George
Carleton	Guy
Carleton	Guy
Carleton	Guy
Carleton	Guy
Carleton	John
Carliell	Laurent
Carne	Charles
Carne	Charles
Carne	Thomas
Carpenter	Gulielmus
Carpenter	Henry
Carpenter	John
Carpenter	Ric
Carpinter	Robert
Carr	John
Carr	John
Carr	Marco
Carr	Mark
Carr	Rafe
Carr	Robert James
Carr	Robert James
Carr	Robertus
Carr	Thomas
Carr	Thomas
Carr	Will
Carr	Will
Carr	William
Carre	Thomas
Carre	Thomas
Carre	Will
Carrington	Godfridus
Carrington	William
Carryer	Ric
Carryer	Robert
Carse	John
Carte	John
Carte	Samuel
Carter	Bartholomeus
Carter	Edmund
Carter	Edmund
Carter	Edward
Carter	Georgius
Carter	Georgius
Carter	Joh
Carter	John
Carter	Thomas
Carteret	Elias
Cartwright	Edmund
Cartwright	Edmundus
Cartwright	Joannes
Cartwright	Thomas
Cartwright	Thomas
Cartwright	Thomas
Carwardin	Thomas
Carwardine	Thomas
Cary	Francis-Henry
Cary	George
Cary	Thomas
Cary	Thomas
Cary	Thomas
Cary	William
Caryan	Timothy
Caryll	Timothy
Casaubon	Mercike
Casaubon	Merick
Case	Thomas
Case	Thomas
Casson	Samuel
Castell	Robert
Castilion	John
Castleton	Andr
Caston	Edmund
Catelyn	Will
Catelyn	William
Catherall	Samuel
Caudrey	Zacharie
Cave	John
Cave	John
Cave	William
Cave	William
Cavicke	Thomas
Cawdrie	Zacharie
Cawley	John
Cecil	Charles
Cecil	Charles
Cecill	Thomas
Cesar	Henr
Chaderton	Joseph
Chadwick	Joh
Chadwick	Valentine
Challis	Martin
Chamber	Anthon
Chamber	Anthony
Chamber	Ric
Chamberlaine	Timothy
Chamberlayne	Thomas
Chambers	James
Chambers	Robertus
Chambers	Thomas
Champante	Henry
Chandler	Edward
Chandler	Edward
Chapman	Alex
Chapman	Alex
Chapman	Edward
Chapman	Joh
Chapman	Joh
Chapman	John
Chapman	John
Chapman	John
Chapman	John
Chapman	Marmaduc
Chapman	Math
Chappell	Edward
Chappell	Joh
Chappell	John
Charleton	Alanus
Charleton	Gualt
Charleton	Gualt
Charlett	Joh
Charlton	Francis
Chase	Gamaliel
Chase	Gamoliel
Chase	John
Chase	Richard
Chase	Rico
Chasm	Thomas
Chatfield	John
Chaundeler	Richardus
Chaundler	Edmund
Chaundler	Edmund
Chaunler	Robert
Chaunler	Robert
Chedle	Rowlande
Cheek	Robert
Chesshire	Ric
Chester	Peter
Chetle	William
Chetwood	Knightley
Cheynell	Henry
Chiderley	Joh
Chilcot	Christopher
Child	Edward
Child	Georg
Child	George
Child	John
Chimley	Theophil
Cholmeley	Hugh
Cholmeley	Hugon
Cholmley	Hugo
Chonden	Johes
Chowney	Nicholas
Christmas	James
Christopherson	John
Christopherson	John
Church	Richard
Churchman	Ric
Claget	Nicolas
Clagett	Nicholas
Clagett	Nicholas
Clapham	Paul
Clare	Andrew
Clark	John
Clark	Thomas
Clark	Thomas
Clarke	Anthony
Clarke	Christopher
Clarke	Gabriel
Clarke	Georgius
Clarke	Joh
Clarke	Leonard
Clarke	Ric
Clarke	Thomas
Clarke	Thomas
Clarke	Thomas
Clarke	Thomas
Clarke	Thomas
Clarke	Thomas
Clarke	Will
Clarke	Will
Clarke	William
Claver	Thomas
Clavering	Robert
Clavering	Robert
Claxton	Hamon
Claxton	Hamond
Clay	Robert
Clayton	Jacob
Clayton	Joh
Clayton	Thomas
Cleater	Adamus
Cleaton	William
Cleaver	William
Cleaver	William
Clegg	John
Clegge	Joh
Cleland	Jac
Cleland	Joh
Clement	Paul
Clement	Thomas
Clement	william
Clemente	Joh
Clemente	John
Clendon	Thomas
Clere	Richard
Clerk	John
Clerk	Robert
Clerke	Robert
Clerke	Samuel
Cliffe	Joh
Cliffe	John
